""			
""		Comisiones y Gastos	
Concepto	Intereses	De	Total
""		Otras	
""		Compromiso	
""			
Estructura por Plazo	701.7	4.8 11.6	718.1
Largo Plazo	689.2	4.8 11.6	705.6
Corto Plazo	12.5	0.0 0.0	12.5
Estructura por Usuario	701.7	4.8 11.6	718.1
Gobierno Federal	496.9	1.2 11.5	509.6
Empresas Productivas del Estado 1_/	162.5	3.6 0.1	166.2
Banca de Desarrollo	42.3	0.0 0.0	42.3
Estructura por Fuente de Financiamiento	701.7	4.8 11.6	718.1
Mercado de Capitales	501.7	0.0 9.8	511.5
Organismos Financieros Internacionales (OFI’s)	160.1	1.2 1.8	163.1
Comercio Exterior	0.6	0.0 0.0	0.6
Mercado Bancario	33.4	3.6 0.0	37.0
Pidiregas	5.9	0.0 0.0	5.9
