""			
""		Comisiones y Gastos	
Concepto	Intereses	De	Total
""		Compromiso	
""		Otras	
""			
Estructura por Plazo	373.1	2.0 16.4	391.5
Largo Plazo	372.0	2.0 16.4	390.4
Corto Plazo	1.1	0.0 0.0	1.1
Estructura por Usuario	373.1	2.0 16.4	391.5
Gobierno Federal	125.7	0.0 1.8	127.5
Empresas Productivas del Estado 1_/	220.5	1.7 14.6	236.8
Banca de Desarrollo	26.9	0.3 0.0	27.2
Estructura por Fuente de Financiamiento	373.1	2.0 16.4	391.5
Mercado de Capitales	201.7	0.0 0.8	202.5
Organismos Financieros Internacionales (OFI’s)	123.3	0.3 1.2	124.8
Comercio Exterior	9.2	0.0 14.4	23.6
Mercado Bancario	30.1	1.7 0.0	31.8
Pidiregas	8.8	0.0 0.0	8.8
