Balance primario
26651
-68097
-197852
-29227
-3147
326856
56827
4932
-229031
-22608
-11808
-44923
23224
-20809
-283520
-27673
-50832
-35206
20896
-36685
-161266
76396
-34320
-76667
35894
"-30,241.40"
"-163,754.20"
"-58,749.80"
"20,088.70"
"-4,077.00"
"66,194.50"
"-9,565.00"
"-154,664.00"
"-51,596.00"
"36,510.00"
"-41,431.80"
"-1,105.10"
"-4,272.80"
"-186,241.40"
"36,132.80"
"-38,857.00"
"-14,674.00"
"-69,600.40"
