""			
""		Comisiones y Gastos	
Concepto	Intereses	De	Total
""		Compromiso	
""		Otras	
""			
Estructura por Plazo	626.0	2.9 13.3	642.2
Largo Plazo	621.5	2.9 13.3	637.7
Corto Plazo	4.5	0.0 0.0	4.5
Estructura por Usuario	626.0	2.9 13.3	642.2
Gobierno Federal	145.7	0.4 11.6	157.7
Empresas Productivas del Estado 1_/	419.9	2.5 1.7	424.1
Banca de Desarrollo	60.4	0.0 0.0	60.4
Estructura por Fuente de Financiamiento	626.0	2.9 13.3	642.2
Mercado de Capitales	424.3	0.0 11.4	435.7
Organismos Financieros Internacionales (OFI’s)	104.9	0.4 1.3	106.6
Comercio Exterior	50.6	0.0 0.3	50.9
Mercado Bancario	26.7	2.5 0.3	29.5
Pidiregas	19.5	0.0 0.0	19.5
