""			
""		Comisiones y Gastos	
Concepto	Intereses	De	Total
""		Compromiso	
""		Otras	
""			
Estructura por Plazo	1,276.2	2.6 6.3	1,285.1
Largo Plazo	1,266.2	2.6 6.3	1,275.1
Corto Plazo	10.0	0.0 0.0	10.0
Estructura por Usuario	1,276.2	2.6 6.3	1,285.1
Gobierno Federal	519.8	0.2 6.2	526.2
Empresas Productivas del Estado 1_/	745.0	2.4 0.1	747.5
Banca de Desarrollo	11.4	0.0 0.0	11.4
Estructura por Fuente de Financiamiento	1,276.2	2.6 6.3	1,285.1
Mercado de Capitales	1,139.2	0.0 5.9	1,145.1
Organismos Financieros Internacionales (OFI’s)	29.1	0.2 0.2	29.5
Comercio Exterior	5.9	0.0 0.1	6.0
Mercado Bancario	64.6	2.4 0.1	67.1
Pidiregas	37.4	0.0 0.0	37.4
